Title,Published_date,Views,Likes,Comments,Month
Zakir Khan | Farzi Mushaira | Episode 23 | Sorry Darling Feat. Kritika Kamra,2023-04-25,648959,18859,362,Apr
Kyun Ki Kyun Nahi Feat. Zeenat Aman,2023-04-22,288009,9411,248,Apr
Zakir Khan | Farzi Mushaira | Episode 22 | Koi Dikkat Nahi Hai Feat. Karishma Sharma,2023-04-19,600169,21245,538,Apr
Zakir Khan | Farzi Mushaira | Episode 21 | Koi Rasam Hogi Shayad,2023-04-15,1368881,33735,1278,Apr
Zakir Khan | Farzi Mushaira | Episode 20 | Theek Hain Na Sab Feat. @JokeSingh & Venus,2023-04-11,640168,25175,568,Apr
Zakir Khan | Farzi Mushaira | Episode 19 | Ab Ye Mat Poocho Feat. Prachi Desai,2023-04-04,676621,25798,394,Apr
Zakir Khan | Farzi Mushaira | Episode 18 | Cool Dude Lag Rhi Hain Aap Feat. Himanshi Khurana,2023-03-31,1027679,36225,751,Mar
Zakir Khan | Farzi Mushaira | Episode 17 | Mere Muh Se Nikal Gayi Feat. Richa Chadha | tanmay Bhatt,2023-03-29,792020,32632,653,Mar
Kyun Ki Kyun Nahi feat. @KapilSharmaK9 | Zakir khan | Zwigato,2023-03-20,5622383,201543,2159,Mar
Sorry Darling | Kritika kamra | Farzi Mushaira | Zakir Khan,2023-03-08,1806965,89576,360,Mar
Mujhe IIT nikalna hai | Farzi mushaira | Tanmay Bhatt | Zakir khan,2023-03-01,1495258,85132,366,Mar
Ek pe time kharab kar diya 😢| Farzi Mushaira S3 | Zakir khan | Venus Singh,2023-02-20,5865120,301548,1193,Feb
Karishma Sharma | Farzi Mushaira | Season 3 | Zakir Khan,2023-02-06,1938828,93099,264,Feb
Himanshi Khurana | Farzi Mushaira | Season 3 | Zakir Khan,2023-01-31,4080570,191056,867,Jan
Bhai batana Sahi sahi | Zakir Khan | Farzi Mushaira,2023-01-25,1223896,76473,168,Jan
Buddho Ke Hack | Tathastu | Deleted Joke | Zakir Khan,2023-01-22,602501,27336,262,Jan
Zakir Khan | Farzi Mushaira | Episode 16 | Model Hun Na Mai | Vijay Verma | Tanmay Bhat,2023-01-19,823134,30265,443,Jan
Zakir Khan | Farzi Mushaira | Episode 15 | BYOT | Venus | Gopal | Hussain | @tanmaybhat,2023-01-17,829534,33170,869,Jan
Zakir Khan | Farzi Mushaira Season 3 | Official Trailer | @tanmaybhat,2023-01-12,291880,13325,414,Jan
Zakir Khan | Farzi Mushaira | Episode 14 | Dil Mangoge Jaan Denge |@dollysinghofficial @tanmaybhat,2023-01-08,852353,36762,605,Jan
Zakir Khan | Farzi Mushaira | Episode 13 | Choti Bacchi Ho Kya | Feat Richa Chadha | Kumar Varun,2023-01-06,1328337,47490,1083,Jan
Zakir Khan | Farzi Mushaira | Episode 12 | Toh Dikkat Hai Kya | Sulagana | @tanmaybhat,2023-01-04,933906,36915,591,Jan
Zakir Khan | Farzi Mushaira | Episode 11 | Aaj Nagad Kal Udhaar | @JokeSingh | Kritika Kamra,2023-01-01,1081484,38920,638,Jan
Zakir Khan | Farzi Mushaira | Episode 10 | Chacha Vidhayak special | Feat. @GopaldattLive,2022-12-29,1626448,50647,585,Dec
Zakir Khan | Farzi Mushaira | Episode 9 | Batana Sahi Sahi | @SaraGurpal @tanmaybhat,2022-12-26,1403191,58621,823,Dec
Neha Story Part -3 | Tathastu |  A Stand Up Special | Zakir Khan,2022-12-22,1306766,47653,378,Dec
Mom Dad’s Reaction To Tathastu | Zakir Khan | @arbazkhanvlog,2022-12-20,959822,71491,440,Dec
Neha Story Part -2 | Tathastu |  A Stand Up Special | Zakir Khan,2022-12-18,1751934,59881,326,Dec
Neha Story Part -1 | Tathastu |  A Stand Up Special | Zakir Khan,2022-12-13,3254788,108954,916,Dec
Khoya Hai Dil Mera | Zeeshan Khan | Tathastu | Zakir Khan | End Credit Song Full Video,2022-12-09,601676,35115,578,Dec
Roommate Aur House Party | Tathastu | Deleted Joke | A Stand Up Special | Zakir Khan,2022-11-30,1975849,79887,904,Nov
Zakir Khan | Tathastu | Stand Up Special | Official Trailer | @PrimeVideoIN,2022-11-29,307739,17163,341,Nov
Pankh Aur Udaan | Tathastu | Stand Up Special | Official Teaser | @PrimeVideoIN,2022-11-28,335033,26256,576,Nov
Sabko Sambhalne walon ko Sambhalne wale kam hote hain | Zakir Khan | Men’s Day 2022 | @mensxp,2022-11-19,646750,58094,957,Nov
GOAT admi hai | Zakir khan | @GopaldattLive | Farzi Mushaira | #farzimushaira #amazonminitv,2022-11-09,1440134,84358,373,Nov
“He is” Se “Had” ho gaye tum | Kritika Kamra | Zakir khan #amazonminitv #farzimushairas2,2022-11-05,4934858,273304,636,Nov
Ladka ek ladki milenge toh zamana karega baatein | Venus | Zakir khan | #farzimushaira #amazonminitv,2022-11-01,4053488,198403,653,Nov
Ek sachchi kahani by @nishanttanwar on #farzimushaira #FMS2 @amazonminitv,2022-10-30,1172473,65795,84,Oct
Tera bhai aage dekh lega - @Kumar Varun - @Zakir Khan #farzimushaira #amazonminitv #farzimushairaS2,2022-10-21,1531782,78109,321,Oct
Finally @tanmaybhat ne apne kaam ki baat hai - #farzimushairaS2 #amazonminitv,2022-10-20,1339612,82829,178,Oct
Zakir Khan | Farzi Mushaira | Episode 8 | Self Reject Feat. Kubra Sait #farzimushaira,2022-10-18,1021089,40300,908,Oct
Kya Logic Lagate ho? - Kaksha Gyarvi - Zakir Khan - #youtubeshorts #zakirkhan,2022-10-17,1043004,66886,339,Oct
Zakir Khan | Farzi Mushaira | Episode 7 | Cash Nahi Aaya Feat. CVHH Cast #farzimushaira,2022-10-15,1050703,40475,593,Oct
Zakir Khan | Farzi Mushaira | Episode 6  | Thukra Ke Mera Pyaar Feat. Kanika Mann #farzimushaira,2022-10-09,1603519,60844,958,Oct
Zakir Khan's Farzi Mushaira S2 | Trailer | @tanmaybhat @JokeSingh  | WATCH FREE #AmazonminiTV,2022-10-07,300321,14605,355,Oct
Zakir Khan | Farzi Mushaira | Episode 5  | Sharaab Feat. Kirti Kulhari,2022-10-01,1108177,45666,643,Oct
"Zakir Khan | Farzi Mushaira | Episode 4  | Ruswai Ka Mela Feat. Parul Gulati, Shivankit Parihar",2022-09-26,1161580,51373,879,Sep
Galat ilzaam - Venus - #farzimushaira  #youtubeshorts #amazonminitv,2022-09-25,1817762,101877,247,Sep
"Zakir Khan | Farzi Mushaira | Episode 3  | Kehndi Hundi Si Feat. Sunny Hinduja, @JokeSingh",2022-09-19,1553701,60994,948,Sep
"Zakir Khan | Farzi Mushaira | Episode 2  | Papa Feat. Kubra Sait,  @JokeSingh",2022-09-13,1186008,56943,799,Sep
Girlfriend ka phone utha liya papa ne - Hussain Dalal - #farzimushaira  #youtubeshorts #amazonminitv,2022-09-10,947605,59410,142,Sep
Toh Koi Baat Nahi - Nishant Tanwar - #FarziMushaira - Zakir Khan #amazonminitv #youtubeshorts,2022-08-21,1163738,82817,273,Aug
Guys Only fans galat hai - Kumar Varun - Zakir Khan -  #farzimushaira #amazonminitv #youtubeshorts,2022-08-18,907221,51075,129,Aug
Humara Shivankit Parihar cute bahut hai - Farzi Mushaira - Zakir khan #amazonminitv #youtubeshorts,2022-08-17,2132716,137904,440,Aug
Time phone kiya karo guys - Zakir khan - #FarziMushaira #amazonminitv #youtubeshorts,2022-08-10,1259389,85265,130,Aug
Yeh Mujhe Maarna Chahte hain-CVHH livestream Highlights- Zakir - Varun - Nishant - Venus - Vyom,2022-08-03,367244,13056,344,Aug
Bahut Masoom Ladki hai - Zakir Khan - shayari - #youtubeshorts,2022-07-29,606414,47276,116,Jul
Dost sirf Fighter hona chahiye - Zakir khan - #FarziMushaira #amazonminitv #youtubeshorts,2022-07-26,1487957,78173,153,Jul
Baap Ka Ooncha Qad Kar Do - Hussain Dalal - #FarziMushaira - Zakir Khan #amazonminitv #youtubeshorts,2022-07-22,647427,42082,113,Jul
Meri Sagai Ka Sadma Kha Gaye- Kirti Kulhari #FarziMushaira - Zakir Khan #amazonminitv #youtubeshorts,2022-07-18,2719858,130572,295,Jul
Zakir Khan | Farzi Mushaira | Episode 1 | Watch More Episodes Free On Amazon MiniTV,2022-07-11,2506596,134541,2477,Jul
Zakir Khan | Farzi Mushaira - Official Trailer | Watch Free On Amazon MiniTV,2022-06-29,306951,16632,310,Jun
Me trying to #JavRun towards my live tours after 2 years #Shorts #Sponsorship,2022-05-29,938420,25359,81,May
Learn Storytelling From Zakir Khan | FrontRow | Main Trailer,2022-05-04,544530,31201,410,May
Chacha Vidhayak Party LIVE!,2022-04-27,555546,18546,125,Apr
Zakir Khan Live Stream,2022-04-27,0,3,0,Apr
Zakir khan - Sitar - Piku theme,2022-04-11,2814986,227794,5804,Apr
Mehfil Biryani by Zakir khan,2022-04-06,268625,21380,801,Apr
Aitbaar aapke wade par kar liye..,2021-12-30,1979963,141756,1206,Dec
India Shayari Project | Zakir Khan | Poetry,2021-10-19,2864534,158503,5288,Oct
Best skin care advice!,2021-10-12,1125518,74766,862,Oct
Chacha Vidhayak Hain Humare Season 1 Recap,2021-10-09,471834,25354,402,Oct
India Shayari Project | Feat. @KumarVishwas | Javed Akhtar | Kausar Munir | Zakir Khan @ZEE5,2021-08-15,289725,19250,522,Aug
Bahut Pighle Hain | Zakir khan | Stand-Up Comedy | Sukha poori 6,2021-06-10,24314067,1003823,9177,Jun
Arjun Ke Barabar Darja - Chacha vidhayak hain humare 2 - Zakir khan - Sunny Hinduja,2021-05-11,750736,23225,560,May
Babu Khana kha lo - Zakir khan - #youtubeshorts,2021-05-06,959742,55468,247,May
Ladko Ki Fantasy,2021-05-02,1143780,71764,716,May
Rishton ki ahamiyat,2021-04-21,1927019,193624,1526,Apr
Toh so ja na #shorts,2021-04-14,4430768,217026,3013,Apr
Galat logon pe... #shorts,2021-04-09,4637448,301711,1128,Apr
Via Nahi Direct - Chacha Vidhayak Hain Humare - Zakir Khan - Karan Malhotra - Zeeshan Khan,2021-04-07,738159,39308,814,Apr
Rajneeti hai koi PUBG toh hai nahi #shorts,2021-04-05,649579,23941,273,Apr
Ek cheez seekhi hai #shorts,2021-03-29,2233111,168309,1372,Mar
"Chacha Vidhayak Hain Humare season 2 - Official promo 1 - Zakir khan, Venus singh and Onima kashyap",2021-03-27,587646,21298,630,Mar
Chacha Vidhayak Hain Humare season 2 - Official Trailer - Zakir khan,2021-03-24,615296,41242,1114,Mar
99 hai ki 98 hai #shorts,2021-03-21,964602,45990,815,Mar
Chacha Vidhayak Hain Humare season 2 Teaser Auqaat aur Sapne - Zakir khan,2021-03-21,1647019,88645,1907,Mar
Relationship Advice | Zakir khan | Seema Taparia | Hello 2021 India | YouTube NYE Celebration,2021-02-06,953716,58616,3133,Feb
Zakir Khan and Munmun Dutta AKA Babita Ji | Hello 2021 India | Youtube NYE Celebration,2021-01-16,6549407,389449,8026,Jan
Free Gift Ka Sach | OnePlus TV | Zakir Khan,2020-10-16,1232952,138398,4156,Oct
Kyun Ki Kyun Nahi | Ft Altaf Raja | Zakir Khan | EP 2,2020-10-08,1344517,94521,2506,Oct
Kyun Ki Kyun Nahi |ft Mallika Sherawat |Zakir Khan | EP 1,2020-09-25,2650184,178035,7730,Sep
Zakir Meets Bandish Bandits |ft.Ritwik Bhowmik | Shreya Chaudhry | Amazon Prime Video,2020-08-21,1509853,72780,3057,Aug
Umeed | Zakir Khan | EP 9 | Ehsaas-e -Kamtari ft Kumar Varun,2020-07-03,1116844,74300,2845,Jul
Papa Yaar | Zakir Khan | Happy Father’s Day,2020-06-20,2024979,235991,6187,Jun
Bahut Na-Insaafi Hai | Zakir Khan | upGrad,2020-06-16,2618471,205278,3401,Jun
Babu Khana Kha lo | Zakir Khan | Stand-Up Comedy | Sukha poori 5,2020-06-02,14476279,725277,9566,Jun
Zakir Khan with Paatal Lok | ft. Jaideep Ahlawat | Abhishek Banerjee | Amazon Prime Video,2020-05-27,2323353,108306,2218,May
Candidly Yours With Zakir khan | Umeed | Gaana Original,2020-05-14,1028105,62184,1429,May
Uncle Nahi Maneinge | Zakir Khan | Stand-Up Comedy | Sukha poori 4,2020-05-06,13033934,529545,7141,May
LYRICAL | Allah Tujhse | Chacha Vidhayak Hain Humare | Song | Zeeshan Khan | Ayush Tiwari,2020-05-04,643393,36136,1215,May
Kuch Nahi Rakha Inn baaton Me | Zakir Khan | Stand-Up Comedy | Sukha poori 3,2020-04-26,14764428,609763,9178,Apr
Bhai Tumhara Warrior Hai PubG Mein Bhi |  Zakir Khan | Feat. @Tanmay  @Nishant @MythPat,2020-04-18,3938550,193502,2164,Apr
Maze Toh Couple Kar Rahe Hain | Zakir Khan | yeh bhi koi zindagi hai | part 1,2020-04-15,3456892,262200,15679,Apr
Tum Husn Pari | Zakir Khan | Stand Up-Comedy | Sukha Poori 2,2020-04-02,20856224,979773,13656,Apr
CoronaVirus Ka Sach | Zakir Khan | #Covid19 #StayHomeStaySafe #CoronaVirus,2020-03-28,949206,78392,3234,Mar
Whatsapp Groups And Politics | Zakir Khan | Sukha Poori 1,2020-03-25,4103015,220240,2576,Mar
Aur Sunao | #StayHome and #Chill #WithMe | Zakir khan,2020-03-22,828632,34828,1022,Mar
Hmm Aacha Theek hai - Afsos - Zakir - Gulshan - Anjali - Anubooti - Anirban Dasgupta,2020-02-08,874552,33526,686,Feb
Afsos - Trailer - Streaming now!,2020-02-08,599452,24443,770,Feb
Goa mat jaana | Zakir khan I Comedy,2019-12-31,12048165,408834,3929,Dec
Sab Sambhal Lete Hain Hum | Zakir Khan | poetry,2019-12-13,6128084,601363,34367,Dec
Bhai Tumhara Superman | Zakir khan | Comedy,2019-12-10,18686210,699873,9406,Dec
"Zakir khan | Laundon ki fantasy |(thoda unclear sound, use headphones) Subtitles 2016",2019-11-01,8149057,266871,6857,Nov
Ghar nahi ja paaye na iss bar bhi | Zakir khan | Poetry,2019-10-26,801590,61279,1236,Oct
Chhichhore | Hmm Achha Theek Hai with Zakir Khan | Sushant | Shraddha | Varun | Tushar | Naveen,2019-08-31,9138146,353177,6033,Aug
"Ghar Ka Hi Hai, Samjh Lena | Delhi Preview | Kaksha Gyarvi",2019-07-11,1894089,90411,1650,Jul
Zakir Khan | Avengers: EndGame | Ek Tarfa Izzatein,2019-04-21,6276349,279608,7953,Apr
Bag jama sakte hain?? - Zakir Khan - Kaksha Gyarvi,2019-03-22,30919676,986837,11997,Mar
“Kohinoor wahi milega!!”| Zakir khan | buckingham palace london | Random |,2019-03-07,4339568,257480,8447,Mar
Boys School - Zakir Khan - Kaksha Gyarvi,2018-12-18,9757443,371255,3701,Dec
Ronny Bhaiya meets Kaleen Bhaiya | Amazon Prime Video,2018-11-26,15993228,536911,8576,Nov
Kaksha Gyarvi - Trailer - Zakir khan,2018-11-22,1994173,56773,1034,Nov
Kaksha Gyarvi - Teaser - Zakir Khan,2018-11-15,1099879,37551,910,Nov
Indore Preview- Chacha Vidhayak Hai Humare - Zakir Khan,2018-06-13,1557180,42996,1146,Jun
Allah Tujhse -Chacha Vidhayak Hain Humare-Zakir khan-Zeeshan Khan-Ayush Tiwari,2018-05-28,2164166,67751,3962,May
Chacha Vidhayak Hain Humare - Zakir Khan - Official Trailer,2018-05-17,2105954,43007,1439,May
Aur sunao-15/05/2018- #YoutubeLive,2018-05-15,763833,12190,490,May
Chacha Vidhayak Hain Humare-Title Song- Zakir Khan- Vishal Dadlani,2018-05-11,2981084,87839,3006,May
Aur Sunao- YouTube Live- 08/05/18,2018-05-08,424211,11469,553,May
Chacha Vidhayak Hain Humare | Season 1 | Teaser | Zakir khan,2018-05-08,1997627,35436,1410,May
Aur Sunao - Youtube live - 19/02/18,2018-02-19,1057152,26933,2025,Feb
“Meri Dastaan sunana” Zakir Khan at Spoken 2017,2018-02-14,12289383,374974,9936,Feb
Aur Sunao - 17/01/18,2018-01-17,780251,15147,896,Jan
"Suno, gharwale aa rahe hai! - Zakir Khan",2017-12-25,25711539,574625,3608,Dec
Aur Sunao - 1-12-2017,2017-12-01,1322867,26433,1357,Dec
Tum So Gaye The Nah? - Zakir Khan,2017-11-22,20249695,488907,3763,Nov
Aur Sunao - 21-11-2017,2017-11-21,495522,11146,1428,Nov
Aur Sunao -  15-11-2017,2017-11-15,569794,14359,1076,Nov
Haq Se Qarib Qarib Singlle - featuring Irrfan Khan.,2017-11-09,5558258,216372,4992,Nov
Aur sunao - Youtube live - 10/10/17,2017-10-09,713127,18162,979,Oct
"Apne Log, Unki Jagah - Zakir Khan Visits IIT Kharagpur - #HaqSeSingle",2017-10-05,2671574,72144,1487,Oct
Aur Batao,2017-08-18,1288832,16350,908,Aug
"Bhai, Mera Break up Hogaya - Zakir Khan",2017-08-09,18303198,391683,2042,Aug
Zakir Khan - Haq Se Single - Trailer,2017-07-08,1951492,35105,859,Jul
Haq Se Single - Teaser - Zakir Khan #HaqSeSingle,2017-07-06,349893,6491,231,Jul
HAQ SE SINGLE - Promo,2017-05-22,2173977,71695,1259,May
Zakir Khan | Kabhi Gaana Kabhi Logic | Dede Pyar De | Sharabi,2017-05-20,3237472,82726,1406,May
Zakir Khan - Photo Kheechani Nahi Aati,2017-04-20,11068809,264108,2189,Apr
Jashn e Rekhta 2017- Zakir Khan original poem recital.,2017-04-09,2061323,67864,988,Apr
Life Mein Chahiye Izzat | Zakir khan | Stand Up Comedy,2017-01-05,36487348,756607,5853,Jan
ZAKIR KHAN - KABHI GAANA KABHI LOGIC - TIP TIP BARSA PAANI,2016-09-29,9252952,267768,5685,Sep
Zakir Khan - Koi Baat Nahi #koibaatnahi,2016-06-10,4685893,119743,3327,Jun
When I met a Delhi Girl | Zakir Khan | Stand Up Comedy | AIB Diwas,2016-05-06,83953164,2254039,27163,May
Zakir Khan - What happens when you fail in an exam! AIB Diwas,2016-04-29,52221199,1311524,9167,Apr
Zakir Khan and Rajiv Nema Indori - Teaser,2016-04-07,495454,7034,174,Apr
Zakir Khan  Construction of a Joke TEDxRGNUL,2016-01-27,2326786,58012,1297,Jan
Zakir Khan- Sitar Raag Yaman Alaap,2015-12-29,267590,10520,458,Dec
"Zakir Khan - Unicorn, The girl we never meet",2015-12-18,7988278,159843,1037,Dec
Papa Please Preach More - Zakir khan,2015-06-20,5861072,243887,9673,Jun
Zakir Khan - Board Exams And Clarity In An Engineer's Life,2015-05-30,5294467,114517,794,May
Zakir Khan - Every Girl Has Heard These Lines From Boys.,2015-05-21,12046753,273875,2188,May
"Salman Bhai, His Fans and Internet- Stand-up Comedian Zakir Khan",2015-05-12,5894803,134090,2126,May
Zakir Khan - Usse Aacha Nahi Lagta(with subtitles) - Poetry,2015-04-30,1096603,16961,169,Apr
How to be cool at an airport | Zakir khan Stand-up Comedian,2015-04-13,11125674,187119,1215,Apr
Rajnikant level concentration sported befor a show .,2015-03-01,364080,8224,55,Mar
Zakir khan - when my father took my gf's call,2015-01-13,5018199,116866,648,Jan
Zakir khan - Sharabi dost aur Kejriwal,2015-01-09,1996998,24227,98,Jan
Zakir Khan - Its Tough To Be A Man In India,2015-01-08,908849,20027,227,Jan
